"","INDEX","TEAM_BATTING_H","TEAM_BATTING_2B","TEAM_BATTING_3B","TEAM_BATTING_HR","TEAM_BATTING_BB","TEAM_BATTING_SO","TEAM_BASERUN_SB","TEAM_BASERUN_CS","TEAM_BATTING_HBP","TEAM_PITCHING_H","TEAM_PITCHING_HR","TEAM_PITCHING_BB","TEAM_PITCHING_SO","TEAM_FIELDING_E","TEAM_FIELDING_DP","Flag_TEAM_BATTING_3B_zero","Flag_TEAM_BATTING_HR_zero","H_TO_SO_R","Flag_TEAM_BATTING_SO","Flag_TEAM_BATTING_SO_zero","Flag_TEAM_BATTING_BB_zero","SB_CS_R","Flag_TEAM_BASERUN_SB","Flag_TEAM_BASERUN_SB2","Flag_TEAM_BASERUN_SB_zero","FlagSB","Flag_TEAM_BASERUN_CS","FlagCS","FlagCS1","Flagbat_HBP","FlagPH","FlagPHR","FlagPBB","FlagPBB1","Flag_TEAM_Pitching_strikeouts","FlagPSO","FlagPSO1","FlagE","flag_DP"
"1","1",1445,194,39,13,143,842,100,55.5555555555556,58,2057.5,84,693.5,1092,542,149,"0","0",0.582698961937716,0,"0","0",NA,1,1,"0","0",1,"0","0","1","1","0","0","1",0,"0","1","1",1
"2","2",1339,219,22,190,685,1075,37,28,58,1347,191,689,1092,193,155,"0","0",0.802837938760269,0,"0","0",0.756756756756757,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"3","3",1377,232,35,137,602,917,46,27,58,1377,137,602,1092,175,153,"0","0",0.665940450254176,0,"0","0",0.58695652173913,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"4","4",1387,209,38,96,451,922,43,30,58,1396,97,454,1092,164,156,"0","0",0.664744051910598,0,"0","0",0.697674418604651,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"5","5",1297,186,27,102,472,920,49,39,58,1297,102,472,1092,138,168,"0","0",0.709329221279877,0,"0","0",0.795918367346939,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"6","6",1279,200,36,92,443,973,107,59,58,1279,92,443,1092,123,149,"0","0",0.760750586395622,0,"0","0",0.551401869158878,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"7","7",1244,179,54,122,525,1062,80,54,58,1244,122,525,1092,136,186,"0","0",0.853697749196141,0,"0","0",0.675,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"8","8",1273,171,37,115,456,1027,40,36,58,1281,116,459,1092,112,136,"0","0",0.80675569520817,0,"0","0",0.9,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"9","11",1391,197,40,114,447,922,69,27,58,1391,114,447,1092,127,169,"0","0",0.662832494608195,0,"0","0",0.391304347826087,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"10","12",1271,213,18,96,441,827,72,34,58,1271,96,441,1092,131,159,"0","0",0.650668764752164,0,"0","0",0.472222222222222,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"11","13",1305,179,27,82,374,888,60,39,58,1364,86,391,1092,119,141,"0","0",0.680459770114943,0,"0","0",0.65,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"12","15",1372,203,31,95,509,801,119,79,58,1372,95,509,801,147,150,"0","0",0.583819241982507,0,"0","0",0.663865546218487,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"13","16",1332,196,41,55,597,816,221,109,58,1340,55,601,1092,185,165,"0","0",0.612612612612613,0,"0","0",0.493212669683258,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"14","17",1265,210,23,63,534,812,126,80,58,1265,63,534,812,150,139,"0","0",0.641897233201581,0,"0","0",0.634920634920635,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"15","18",1380,233,40,131,542,880,159,89,58,1380,131,542,1092,147,137,"0","0",0.63768115942029,0,"0","0",0.559748427672956,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"16","19",1417,226,28,108,539,682,86,69,58,1417,108,539,682,136,136,"0","0",0.481298517995766,0,"0","0",0.802325581395349,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","0","0",0
"17","20",1563,242,43,164,589,843,100,53,58,1563,164,589,1092,135,172,"0","0",0.539347408829175,0,"0","0",0.53,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
"18","21",1460,239,32,107,546,900,92,64,58,1478,108,553,1092,136,146,"0","0",0.616438356164384,0,"0","0",0.695652173913043,0,0,"0","0",0,"0","0","1","0","0","0","0",0,"0","1","0",0
