"","INDEX","P_TARGET_FLAG"
"1","3","0"
"2","9","0"
"3","10","0"
"4","18","0"
"5","21","0"
"6","30","0"
"7","31","1"
"8","37","0"
"9","39","0"
"10","47","0"
"11","60","0"
"12","62","1"
"13","63","1"
"14","64","0"
"15","68","0"
"16","75","1"
"17","76","1"
"18","83","0"
"19","87","1"
"20","92","1"
"21","98","0"
"22","106","0"
"23","107","0"
"24","113","1"
"25","120","0"
"26","123","0"
"27","125","1"
"28","126","1"
"29","128","0"
"30","129","0"
"31","131","0"
"32","135","1"
"33","141","0"
"34","147","0"
"35","148","0"
"36","151","0"
"37","156","0"
"38","157","0"
"39","174","0"
"40","186","1"
"41","193","0"
"42","195","1"
"43","212","0"
"44","213","1"
"45","217","0"
"46","223","0"
"47","226","0"
"48","228","1"
"49","230","0"
"50","241","1"
"51","243","0"
"52","249","0"
"53","281","1"
"54","288","0"
"55","294","0"
"56","295","0"
"57","300","1"
"58","302","1"
"59","303","0"
"60","308","1"
"61","319","0"
"62","320","0"
"63","324","0"
"64","331","0"
"65","343","0"
"66","347","0"
"67","348","1"
"68","350","1"
"69","357","0"
"70","358","0"
"71","360","0"
"72","366","0"
"73","367","1"
"74","368","0"
"75","376","1"
"76","380","0"
"77","388","1"
"78","396","0"
"79","398","0"
"80","403","0"
"81","410","1"
"82","412","0"
"83","420","0"
"84","434","0"
"85","440","1"
"86","450","1"
"87","453","0"
"88","464","0"
"89","465","0"
"90","466","1"
"91","473","0"
"92","476","0"
"93","478","0"
"94","479","0"
"95","493","0"
"96","497","0"
"97","503","0"
"98","504","0"
"99","505","0"
"100","507","0"
"101","513","1"
"102","519","1"
"103","521","1"
"104","522","1"
"105","545","0"
"106","549","0"
"107","551","0"
"108","556","0"
"109","557","1"
"110","559","0"
"111","560","1"
"112","566","0"
"113","569","0"
"114","573","0"
"115","578","1"
"116","579","0"
"117","582","0"
"118","596","1"
"119","598","1"
"120","599","0"
"121","602","0"
"122","605","1"
"123","617","1"
"124","619","0"
"125","630","0"
"126","634","1"
"127","643","1"
"128","645","0"
"129","647","0"
"130","649","0"
"131","656","0"
"132","657","0"
"133","658","0"
"134","667","0"
"135","692","0"
"136","693","0"
"137","698","1"
"138","699","1"
"139","700","0"
"140","704","0"
"141","707","0"
"142","708","1"
"143","709","0"
"144","713","0"
"145","714","0"
"146","716","1"
"147","718","0"
"148","722","0"
"149","729","0"
"150","731","0"
"151","733","1"
"152","746","0"
"153","747","1"
"154","748","0"
"155","753","0"
"156","757","1"
"157","763","0"
"158","767","0"
"159","774","1"
"160","776","1"
"161","788","0"
"162","794","0"
"163","799","0"
"164","803","0"
"165","806","0"
"166","807","0"
"167","811","0"
"168","816","0"
"169","818","0"
"170","819","0"
"171","831","0"
"172","835","1"
"173","837","0"
"174","841","1"
"175","846","0"
"176","856","0"
"177","861","1"
"178","862","1"
"179","863","1"
"180","865","1"
"181","871","1"
"182","879","0"
"183","880","0"
"184","881","0"
"185","885","0"
"186","887","0"
"187","892","0"
"188","898","0"
"189","900","0"
"190","904","0"
"191","906","1"
"192","910","1"
"193","912","0"
"194","913","0"
"195","919","0"
"196","924","1"
"197","925","1"
"198","930","0"
"199","940","0"
"200","941","0"
"201","946","0"
"202","949","1"
"203","951","0"
"204","962","0"
"205","966","0"
"206","967","0"
"207","971","1"
"208","981","0"
"209","982","0"
"210","983","0"
"211","984","0"
"212","989","0"
"213","990","1"
"214","992","1"
"215","995","0"
"216","996","0"
"217","998","1"
"218","1001","0"
"219","1007","0"
"220","1008","0"
"221","1016","0"
"222","1022","0"
"223","1027","0"
"224","1032","1"
"225","1033","0"
"226","1041","0"
"227","1065","1"
"228","1074","1"
"229","1075","0"
"230","1081","0"
"231","1094","0"
"232","1099","0"
"233","1105","1"
"234","1123","0"
"235","1135","0"
"236","1142","0"
"237","1155","0"
"238","1169","0"
"239","1176","0"
"240","1178","1"
"241","1180","0"
"242","1184","0"
"243","1185","1"
"244","1193","0"
"245","1196","0"
"246","1199","0"
"247","1203","0"
"248","1205","1"
"249","1207","0"
"250","1208","1"
"251","1212","1"
"252","1213","1"
"253","1222","0"
"254","1223","0"
"255","1226","1"
"256","1227","0"
"257","1229","0"
"258","1230","0"
"259","1231","1"
"260","1241","0"
"261","1243","0"
"262","1244","0"
"263","1246","0"
"264","1248","0"
"265","1249","0"
"266","1252","0"
"267","1261","0"
"268","1275","0"
"269","1281","1"
"270","1285","1"
"271","1288","1"
"272","1290","0"
"273","1291","0"
"274","1304","1"
"275","1305","0"
"276","1323","0"
"277","1342","1"
"278","1348","0"
"279","1353","0"
"280","1363","0"
"281","1371","0"
"282","1372","0"
"283","1378","0"
"284","1381","0"
"285","1382","0"
"286","1393","1"
"287","1394","0"
"288","1398","0"
"289","1404","1"
"290","1405","1"
"291","1419","0"
"292","1421","0"
"293","1426","0"
"294","1431","1"
"295","1435","0"
"296","1437","1"
"297","1438","0"
"298","1442","1"
"299","1464","0"
"300","1471","0"
"301","1473","0"
"302","1476","0"
"303","1478","0"
"304","1479","1"
"305","1487","1"
"306","1492","0"
"307","1496","0"
"308","1497","1"
"309","1515","0"
"310","1519","0"
"311","1522","1"
"312","1526","0"
"313","1537","0"
"314","1538","1"
"315","1540","0"
"316","1543","0"
"317","1548","0"
"318","1549","0"
"319","1556","1"
"320","1564","0"
"321","1570","0"
"322","1577","1"
"323","1585","0"
"324","1590","0"
"325","1592","1"
"326","1594","0"
"327","1596","1"
"328","1598","0"
"329","1603","1"
"330","1607","0"
"331","1612","0"
"332","1627","0"
"333","1629","1"
"334","1630","0"
"335","1640","0"
"336","1641","0"
"337","1646","0"
"338","1662","1"
"339","1668","0"
"340","1671","0"
"341","1672","1"
"342","1673","1"
"343","1686","1"
"344","1688","1"
"345","1696","0"
"346","1701","0"
"347","1707","0"
"348","1708","0"
"349","1713","0"
"350","1715","0"
"351","1717","0"
"352","1721","0"
