Column1,INDEX,TARGET_WINS,TEAM_BATTING_H,TEAM_BATTING_2B,TEAM_BATTING_3B,TEAM_BATTING_HR,TEAM_BATTING_BB,TEAM_BATTING_SO,TEAM_BASERUN_SB,TEAM_BASERUN_CS,TEAM_BATTING_HBP,TEAM_PITCHING_H,TEAM_PITCHING_HR,TEAM_PITCHING_BB,TEAM_PITCHING_SO,TEAM_FIELDING_E,TEAM_FIELDING_DP,TEAM_BATTING_1B,log_TEAM_BATTING_1B,log_TEAM_BATTING_3B,log_TEAM_BASERUN_SB,log_TEAM_BASERUN_CS,log_TEAM_BATTING_2B,log_TEAM_BATTING_HR,log_TEAM_PITCHING_HR,log_TEAM_PITCHING_H,log_TEAM_FIELDING_E,sqrt_TEAM_PITCHING_HR,SB_PCT
1,1,39,1445,194,39,13,143,842,100,55.55555556,58,2057.5,84,693.5,1092,500,149,1199,7.089243155,3.663561646,4.605170186,4.017383521,5.267858159,-2.564949357,8.861633598,7.629246933,6.295266001,9.16515139,0.642857143
2,2,70,1339,219,22,190,685,1075,37,28,58,1347,191,689,1092,193,155,908,6.811244379,3.091042453,3.610917913,3.33220451,5.38907173,-5.247024072,10.50454686,7.205635176,5.262690189,13.82027496,0.569230769
3,3,86,1377,232,35,137,602,917,46,27,58,1377,137,602,1092,175,153,973,6.880384082,3.555348061,3.828641396,3.295836866,5.446737372,-4.919980926,9.839961852,7.227662499,5.164785974,11.70469991,0.630136986
4,4,70,1387,209,38,96,451,922,43,30,58,1396,97,454,1092,164,156,1044,6.950814768,3.63758616,3.761200116,3.401197382,5.342334252,-4.564348191,9.149421957,7.241366283,5.099866428,9.848857802,0.589041096
5,5,82,1281.5,186,27,102,472,920,49,39,58,1297,102,472,1092,138,168,966.5,6.873681299,3.295836866,3.891820298,3.663561646,5.225746674,-4.624972813,9.249945627,7.167809184,4.927253685,10.09950494,0.556818182
6,6,75,1281.5,200,36,92,443,973,107,59,58,1279,92,443,1092,123,149,953.5,6.860139425,3.583518938,4.672828834,4.077537444,5.298317367,-4.521788577,9.043577154,7.153833802,4.812184355,9.591663047,0.644578313
7,7,80,1281.5,179,54,122,525,1062,80,54,58,1244,122,525,1092,136,186,926.5,6.831414046,3.988984047,4.382026635,3.988984047,5.187385806,-4.804021045,9.608042089,7.126087273,4.912654886,11.04536102,0.597014925
8,8,85,1281.5,171,37,115,456,1027,40,36,58,1281,116,459,1092,112,136,958.5,6.865369562,3.610917913,3.688879454,3.583518938,5.141663557,-4.744932128,9.507180382,7.155396302,4.718498871,10.77032961,0.526315789
9,11,86,1391,197,40,114,447,922,69,27,58,1391,114,447,1092,127,169,1040,6.946975992,3.688879454,4.234106505,3.295836866,5.283203729,-4.736198448,9.472396897,7.237778192,4.844187086,10.67707825,0.71875
10,12,76,1281.5,213,18,96,441,827,72,34,58,1271,96,441,1092,131,159,954.5,6.861187643,2.890371758,4.276666119,3.526360525,5.361292166,-4.564348191,9.128696383,7.147559271,4.875197323,9.797958971,0.679245283
11,13,78,1305,179,27,82,374,888,60,39,58,1364,86,391,1092,119,141,1017,6.924612396,3.295836866,4.094344562,3.663561646,5.187385806,-4.406719247,8.908694593,7.218176838,4.779123493,9.273618495,0.606060606
12,15,68,1372,203,31,95,509,801,119,79,58,1372,95,509,801,147,150,1043,6.949856455,3.433987204,4.779123493,4.369447852,5.313205979,-4.553876892,9.107753783,7.224024808,4.990432587,9.746794345,0.601010101
13,16,72,1332,196,41,55,597,816,221,109,58,1340,55,601,1092,185,165,1040,6.946975992,3.713572067,5.398162702,4.691347882,5.278114659,-4.007333185,8.01466637,7.200424893,5.220355825,7.416198487,0.66969697
